姓名   ,出生日期,國籍,性別,年齡,聯絡方式,業務單位,年資,銷售數量,銷售金額
楊紫,1994/1/12,中國,女,29,(+886)0922419462,演員,9,103,2658
李榮浩,1988/9/1,中國,男,35,(+886)0991303363,歌手,12,881,556
霍尊,1995/8/2,,男,28,(+886)0976069115,綜藝,3,637,
劉亦菲,1996/5/7,中國,女,27,(+886)0927643803,演員,9,212,7400
范冰冰,1982/7/26,中國,女,41,(+886)0938548365,演員,15,528,7531
李國毅,1976/4/29,臺灣,男,47,(+886)0986009084,綜藝,20,463,7185
林青霞,1964/9/26,,女,59,(+886)0935633188,演員,40,,9737
蘇有朋,1977/10/14,臺灣,男,46,(+886)0920237836,歌手,32,413,7448
洪辰,1995/6/30,中國,女,28,(+886)0914076944,綜藝,7,761,589
林依晨,1985/12/6,臺灣,女,38,(+886)0920536139,演員,19,206,9612
謝和弦,1989/11/26,臺灣,男,34,(+886)0994670643,歌手,9,172,8118
林志玲,1976/8/4,臺灣,女,47,(+886)0951805102,綜藝,13,359,511
曹格,1978/12/20,,男,45,(+886)0919517889,歌手,18,955,9229
郭敬明,1987/5/19,中國,男,36,(+886)0938490221,演員,11,185,8511
張檬,1995/8/7,中國,女,28,(+886)0966590202,綜藝,3,968,6762
歐陽娜娜,2001/9/26,臺灣,女,22,(+886)0958388864,綜藝,9,973,3382
蕭敬騰,1985/7/10,臺灣,男,38,(+886)0978260635,歌手,8,67,3011
林育群,1992/5/12,臺灣,男,31,(+886)0936366059,歌手,8,761,5056
林更新,1988/5/28,臺灣,男,35,(+886)0958066354,綜藝,14,374,3661
楊丞琳,1982/11/22,臺灣,女,41,(+886)0986171088,演員,23,369,3862
王心凌,1980/8/10,臺灣,女,43,(+886)0945566259,歌手,24,778,2810
張柏芝,1976/9/6,香港,女,47,(+886)0940882195,演員,31,304,5604
伍佰,1968/3/4,臺灣,男,55,(+886)0998920145,歌手,28,775,7869
王宇婕,1977/6/9,臺灣,女,46,(+886)0986557360,演員,27,886,3389
吳昕,1999/7/18,中國,女,24,(+886)0945473795,綜藝,3,148,6172
周杰倫,1974/7/7,臺灣,男,49,(+886)0932826234,歌手,24,937,9473
魏如萱,1993/8/21,臺灣,女,30,(+886)0918956667,歌手,8,941,889
洪卓立,1994/7/27,臺灣,男,29,(+886)0952988959,綜藝,2,269,1441
林憶蓮,1969/2/26,香港,女,54,(+886)0935664998,歌手,37,183,8197
林志穎,1973/4/2,臺灣,男,50,(+886)0979990444,演員,34,931,7261
曾沛慈,1987/10/8,臺灣,女,36,(+886)0972867218,演員,14,439,1411
郭采潔,1984/3/15,臺灣,女,39,(+886)0912750008,演員,19,425,8510
謝欣穎,1988/1/22,臺灣,女,35,(+886)0996672714,綜藝,9,143,2549
張靚穎,1996/10/4,中國,女,27,(+886)0926098137,演員,4,509,8663
江蕙,1964/10/19,臺灣,女,59,(+886)0960532825,歌手,46,,6372
